1670639418.857384,0
1670639418.960013,45
1670639419.062551,87
1670639419.165212,99
1670639419.268094,100
1670639419.370592,100
1670639419.480182,100
1670639419.582550,100
1670639419.686471,98
1670639419.803325,100
1670639419.905651,59
1670639420.013850,53
1670639420.116686,78
1670639420.219655,98
1670639420.333321,81
1670639420.435915,79
1670639420.540370,58
1670639420.649407,33
1670639420.752168,36
1670639420.855439,48
1670639420.957543,54
1670639421.060007,29
1670639421.162382,34
1670639421.265783,42
1670639421.368264,59
1670639421.470414,49
1670639421.572918,29
1670639421.675276,27
1670639421.777581,29
1670639421.880248,29
1670639421.982759,28
1670639422.090076,29
1670639422.192606,30
1670639422.295613,29
1670639422.398152,31
1670639422.501163,31
1670639422.603556,31
1670639422.706578,42
1670639422.808819,51
1670639422.911974,65
1670639423.014074,55
1670639423.116799,35
1670639423.220025,40
1670639423.323157,43
1670639423.427378,53
1670639423.530390,62
1670639423.636495,35
1670639423.741992,40
1670639423.844330,44
1670639423.949945,54
1670639424.052926,63
1670639424.158578,51
1670639424.260978,36
1670639424.369038,35
1670639424.471678,36
1670639424.576608,36
1670639424.683576,36
1670639424.785891,37
1670639424.888945,37
1670639424.991346,37
1670639425.101512,37
1670639425.203773,39
1670639425.305964,49
1670639425.408158,47
1670639425.511259,57
1670639425.613811,62
1670639425.716314,67
1670639425.818859,41
1670639425.921347,46
1670639426.023617,49
1670639426.126769,54
1670639426.229183,59
1670639426.338770,68
1670639426.441301,45
1670639426.544614,41
1670639426.651606,48
1670639426.754857,51
1670639426.859977,62
1670639426.963273,69
1670639427.068771,55
1670639427.186985,43
1670639427.289406,41
1670639427.394061,42
1670639427.499906,42
1670639427.602234,42
1670639427.707483,43
1670639427.810024,43
1670639427.912624,42
1670639428.015334,44
1670639428.125435,45
1670639428.227655,50
1670639428.329791,54
1670639428.431822,54
1670639428.534906,65
1670639428.637146,73
1670639428.739822,68
1670639428.842472,46
1670639428.945285,53
1670639429.047475,56
1670639429.150333,57
1670639429.252565,67
1670639429.355912,75
1670639429.458413,72
1670639429.561034,48
1670639429.671439,58
1670639429.777888,56
1670639429.896055,66
1670639429.998716,66
1670639430.107191,76
1670639430.210067,62
1670639430.317308,50
1670639430.419859,47
1670639430.526981,47
1670639430.629344,48
1670639430.733969,48
1670639430.836492,49
1670639430.939421,49
1670639431.042005,49
1670639431.144368,49
1670639431.246643,49
1670639431.348987,51
1670639431.451286,57
1670639431.553667,59
1670639431.656196,70
1670639431.758893,71
1670639431.861235,78
1670639431.964060,71
1670639432.066202,54
1670639432.168639,59
1670639432.270926,58
1670639432.374126,62
1670639432.476442,73
1670639432.579765,74
1670639432.682078,80
1670639432.785234,67
1670639432.887423,54
1670639432.990810,61
1670639433.093188,61
1670639433.197396,63
1670639433.299881,74
1670639433.404016,83
1670639433.506560,82
1670639433.613623,60
1670639433.716684,56
1670639433.822164,53
1670639433.924864,54
1670639434.034429,54
1670639434.137253,53
1670639434.244319,55
1670639434.347097,55
1670639434.450942,55
1670639434.553706,55
1670639434.657997,56
1670639434.760505,56
1670639434.865973,63
1670639434.968449,66
1670639435.071305,66
1670639435.173724,75
1670639435.277707,86
1670639435.380152,84
1670639435.487286,58
1670639435.589946,59
1670639435.692311,64
1670639435.794641,68
1670639435.896888,68
1670639435.999804,78
1670639436.102088,88
1670639436.205229,86
1670639436.307433,71
1670639436.410076,61
1670639436.512447,66
